Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.0399994e-02,-0.00000e+00,-0.00000e+00,
-1.0199994e-02,8.00004e-02,5.99998e-03,
-9.9999942e-03,-0.00000e+00,5.99998e-03,
-9.7999945e-03,8.00004e-02,-2.00000e-03,
-9.5999949e-03,-0.00000e+00,5.99998e-03,
-9.3999952e-03,8.00004e-02,-2.00000e-03,
-9.1999955e-03,-0.00000e+00,5.99998e-03,
-8.9999959e-03,8.00004e-02,-4.00001e-03,
-8.7999962e-03,-0.00000e+00,5.99998e-03,
-8.5999966e-03,8.00004e-02,-2.00000e-03,
-8.3999969e-03,-0.00000e+00,-0.00000e+00,
-8.1999972e-03,8.00004e-02,1.40000e-02,
-7.9999976e-03,-0.00000e+00,7.99999e-03,
-7.7999975e-03,8.00004e-02,-2.00000e-03,
-7.5999973e-03,-0.00000e+00,-0.00000e+00,
-7.3999972e-03,8.00004e-02,5.99998e-03,
-7.1999971e-03,-0.00000e+00,-0.00000e+00,
-6.9999970e-03,8.00004e-02,5.99998e-03,
-6.7999968e-03,-0.00000e+00,5.99998e-03,
-6.5999967e-03,8.00004e-02,-0.00000e+00,
-6.3999966e-03,8.00004e-02,-0.00000e+00,
-6.1999965e-03,-0.00000e+00,5.99998e-03,
-5.9999963e-03,-0.00000e+00,7.99999e-03,
-5.7999962e-03,8.00004e-02,-4.00001e-03,
-5.5999961e-03,-0.00000e+00,7.99999e-03,
-5.3999959e-03,8.00004e-02,-2.00000e-03,
-5.1999958e-03,-0.00000e+00,-2.00000e-03,
-4.9999957e-03,8.00004e-02,5.99998e-03,
-4.7999956e-03,-0.00000e+00,-0.00000e+00,
-4.5999954e-03,8.00004e-02,3.99998e-03,
-4.3999953e-03,-0.00000e+00,3.99998e-03,
-4.1999952e-03,8.00004e-02,-4.00001e-03,
-3.9999951e-03,-0.00000e+00,7.99999e-03,
-3.7999952e-03,8.00004e-02,-2.00000e-03,
-3.5999953e-03,8.00004e-02,7.99999e-03,
-3.3999954e-03,-0.00000e+00,-2.00000e-03,
-3.1999955e-03,-0.00000e+00,5.99998e-03,
-2.9999956e-03,8.00004e-02,-4.00001e-03,
-2.7999957e-03,-0.00000e+00,-2.00000e-03,
-2.5999958e-03,8.00004e-02,5.99998e-03,
-2.3999959e-03,-0.00000e+00,-2.00000e-03,
-2.1999960e-03,8.00004e-02,7.99999e-03,
-1.9999961e-03,-0.00000e+00,-0.00000e+00,
-1.7999961e-03,8.00004e-02,5.99998e-03,
-1.5999961e-03,-0.00000e+00,-2.00000e-03,
-1.3999961e-03,8.00004e-02,7.99999e-03,
-1.1999961e-03,-0.00000e+00,-0.00000e+00,
-9.9999609e-04,8.00004e-02,5.99998e-03,
-7.9999608e-04,-0.00000e+00,3.99998e-03,
-5.9999607e-04,8.00004e-02,-2.00000e-03,
-3.9999609e-04,-0.00000e+00,-2.00000e-03,
-1.9999611e-04,8.00004e-02,1.20000e-02,
3.8708095e-09,-0.00000e+00,8.20000e-02,
2.0000385e-04,3.40000e+00,-2.00000e-03,
4.0000383e-04,3.36000e+00,8.00000e-02,
6.0000381e-04,3.32000e+00,1.26000e-01,
8.0000376e-04,3.32000e+00,1.22000e-01,
1.0000038e-03,3.40000e+00,1.52000e-01,
1.2000038e-03,3.32000e+00,1.48000e-01,
1.4000038e-03,3.40000e+00,1.58000e-01,
1.6000038e-03,3.32000e+00,1.58000e-01,
1.8000038e-03,3.40000e+00,1.40000e-01,
2.0000038e-03,3.32000e+00,1.52000e-01,
2.2000037e-03,3.40000e+00,1.38000e-01,
2.4000036e-03,3.32000e+00,1.42000e-01,
2.6000035e-03,3.40000e+00,1.26000e-01,
2.8000034e-03,3.36000e+00,1.30000e-01,
3.0000033e-03,3.32000e+00,1.16000e-01,
3.2000032e-03,3.32000e+00,1.18000e-01,
3.4000031e-03,3.36000e+00,1.08000e-01,
3.6000030e-03,3.32000e+00,1.12000e-01,
3.8000029e-03,3.40000e+00,1.00000e-01,
4.0000030e-03,3.36000e+00,1.04000e-01,
4.2000031e-03,3.32000e+00,9.60000e-02,
4.4000032e-03,3.32000e+00,1.02000e-01,
4.6000034e-03,3.36000e+00,9.20000e-02,
4.8000035e-03,3.40000e+00,9.40000e-02,
5.0000036e-03,3.28000e+00,1.00000e-01,
5.2000037e-03,3.36000e+00,9.20000e-02,
5.4000039e-03,3.28000e+00,1.00000e-01,
5.6000040e-03,3.36000e+00,1.02000e-01,
5.8000041e-03,3.28000e+00,9.20000e-02,
6.0000042e-03,3.36000e+00,9.20000e-02,
6.2000044e-03,3.28000e+00,9.80000e-02,
6.4000045e-03,3.36000e+00,9.40000e-02,
6.6000046e-03,3.28000e+00,1.00000e-01,
6.8000047e-03,3.28000e+00,9.60000e-02,
7.0000049e-03,3.36000e+00,1.02000e-01,
7.2000050e-03,3.36000e+00,9.60000e-02,
7.4000051e-03,3.32000e+00,1.02000e-01,
7.6000053e-03,3.36000e+00,9.60000e-02,
7.8000054e-03,3.28000e+00,1.06000e-01,
8.0000050e-03,3.36000e+00,1.00000e-01,
8.2000047e-03,3.28000e+00,1.08000e-01,
8.4000044e-03,3.36000e+00,1.08000e-01,
8.6000040e-03,3.28000e+00,1.00000e-01,
8.8000037e-03,3.36000e+00,1.12000e-01,
9.0000033e-03,3.28000e+00,8.40000e-02,
9.2000030e-03,3.36000e+00,8.60000e-02,
9.4000027e-03,3.28000e+00,6.80000e-02,
9.6000023e-03,3.36000e+00,7.40000e-02,
9.8000020e-03,3.28000e+00,8.60000e-02,
1.0000002e-02,3.36000e+00,8.20000e-02,
1.0200001e-02,3.28000e+00,9.20000e-02,
1.0400001e-02,3.36000e+00,8.80000e-02,
1.0600001e-02,3.28000e+00,9.80000e-02,
1.0800000e-02,3.36000e+00,9.00000e-02,
1.1000000e-02,3.28000e+00,1.02000e-01,
1.1200000e-02,3.36000e+00,9.80000e-02,
1.1399999e-02,3.28000e+00,1.04000e-01,
1.1599999e-02,3.36000e+00,9.60000e-02,
1.1799999e-02,3.28000e+00,1.06000e-01,
1.1999998e-02,3.32000e+00,9.80000e-02,
1.2199998e-02,3.36000e+00,1.18000e-01,
1.2399998e-02,3.36000e+00,9.80000e-02,
1.2599997e-02,3.28000e+00,1.06000e-01,
1.2799997e-02,3.36000e+00,1.02000e-01,
1.2999997e-02,3.28000e+00,1.14000e-01,
1.3199996e-02,3.32000e+00,1.12000e-01,
1.3399996e-02,3.36000e+00,1.04000e-01,
1.3599996e-02,3.36000e+00,1.16000e-01,
1.3799995e-02,3.28000e+00,7.80000e-02,
1.3999995e-02,3.36000e+00,8.00000e-02,
1.4199995e-02,3.28000e+00,8.80000e-02,
1.4399994e-02,3.36000e+00,8.20000e-02,
1.4599994e-02,3.32000e+00,9.20000e-02,
1.4799993e-02,3.32000e+00,8.80000e-02,
1.4999993e-02,3.36000e+00,9.60000e-02,
1.5199993e-02,3.32000e+00,8.80000e-02,
1.5399992e-02,3.36000e+00,9.80000e-02,
1.5599992e-02,3.36000e+00,9.40000e-02,
1.5799992e-02,3.28000e+00,1.02000e-01,
1.5999991e-02,3.36000e+00,1.02000e-01,
1.6199991e-02,3.28000e+00,9.40000e-02,
1.6399991e-02,3.36000e+00,1.04000e-01,
1.6599990e-02,3.28000e+00,9.60000e-02,
1.6799990e-02,3.32000e+00,1.00000e-01,
1.6999990e-02,3.36000e+00,1.10000e-01,
1.7199989e-02,3.36000e+00,1.04000e-01,
1.7399989e-02,3.28000e+00,1.14000e-01,
1.7599989e-02,3.36000e+00,1.12000e-01,
1.7799988e-02,3.28000e+00,7.40000e-02,
1.7999988e-02,3.36000e+00,7.80000e-02,
1.8199988e-02,3.28000e+00,8.80000e-02,
1.8399987e-02,3.36000e+00,8.40000e-02,
1.8599987e-02,3.28000e+00,9.40000e-02,
1.8799987e-02,3.36000e+00,9.00000e-02,
1.8999986e-02,3.28000e+00,9.80000e-02,
1.9199986e-02,3.36000e+00,9.20000e-02,
1.9399986e-02,3.28000e+00,1.02000e-01,
1.9599985e-02,3.36000e+00,9.60000e-02,
1.9799985e-02,3.28000e+00,1.06000e-01,
1.9999985e-02,3.36000e+00,9.60000e-02,
2.0199984e-02,3.28000e+00,1.06000e-01,
2.0399984e-02,3.36000e+00,1.04000e-01,
2.0599984e-02,3.28000e+00,1.16000e-01,
2.0799983e-02,3.36000e+00,1.22000e-01,
2.0999983e-02,3.28000e+00,1.04000e-01,
2.1199983e-02,3.40000e+00,1.22000e-01,
2.1399982e-02,3.28000e+00,6.60000e-02,
2.1599982e-02,3.28000e+00,7.40000e-02,
2.1799982e-02,3.40000e+00,8.40000e-02,
2.1999981e-02,3.36000e+00,8.20000e-02,
2.2199981e-02,3.32000e+00,9.40000e-02,
2.2399981e-02,3.32000e+00,8.80000e-02,
2.2599980e-02,3.36000e+00,9.80000e-02,
2.2799980e-02,3.36000e+00,9.40000e-02,
2.2999980e-02,3.28000e+00,1.04000e-01,
2.3199979e-02,3.36000e+00,1.02000e-01,
2.3399979e-02,3.28000e+00,1.18000e-01,
2.3599979e-02,3.36000e+00,1.18000e-01,
2.3799978e-02,3.28000e+00,7.40000e-02,
2.3999978e-02,3.36000e+00,7.60000e-02,
2.4199978e-02,3.28000e+00,8.80000e-02,
2.4399977e-02,3.36000e+00,8.20000e-02,
2.4599977e-02,3.32000e+00,9.40000e-02,
2.4799976e-02,3.36000e+00,8.80000e-02,
2.4999976e-02,3.28000e+00,1.00000e-01,
2.5199976e-02,3.36000e+00,9.60000e-02,
2.5399975e-02,3.28000e+00,1.04000e-01,
2.5599975e-02,3.36000e+00,1.00000e-01,
2.5799975e-02,3.28000e+00,1.18000e-01,
2.5999974e-02,3.36000e+00,1.24000e-01,
2.6199974e-02,3.28000e+00,1.02000e-01,
2.6399974e-02,3.36000e+00,1.04000e-01,
2.6599973e-02,3.28000e+00,8.00000e-02,
2.6799973e-02,3.36000e+00,8.40000e-02,
2.6999973e-02,3.28000e+00,9.60000e-02,
2.7199972e-02,3.36000e+00,9.00000e-02,
2.7399972e-02,3.28000e+00,9.80000e-02,
2.7599972e-02,3.36000e+00,9.20000e-02,
2.7799971e-02,3.32000e+00,1.04000e-01,
2.7999971e-02,3.36000e+00,9.80000e-02,
2.8199971e-02,3.28000e+00,1.10000e-01,
2.8399970e-02,3.36000e+00,1.06000e-01,
2.8599970e-02,3.32000e+00,1.26000e-01,
2.8799970e-02,3.36000e+00,1.30000e-01,
2.8999969e-02,3.28000e+00,6.80000e-02,
2.9199969e-02,3.36000e+00,7.20000e-02,
2.9399969e-02,3.28000e+00,8.40000e-02,
2.9599968e-02,3.40000e+00,8.00000e-02,
2.9799968e-02,3.28000e+00,9.40000e-02,
2.9999968e-02,3.36000e+00,9.00000e-02,
3.0199967e-02,3.28000e+00,1.06000e-01,
3.0399967e-02,3.36000e+00,1.04000e-01,
3.0599967e-02,3.28000e+00,1.20000e-01,
3.0799966e-02,3.36000e+00,1.20000e-01,
3.0999966e-02,3.28000e+00,7.80000e-02,
3.1199966e-02,3.36000e+00,8.20000e-02,
3.1399965e-02,3.28000e+00,9.20000e-02,
3.1599965e-02,3.36000e+00,9.00000e-02,
3.1799965e-02,3.28000e+00,9.80000e-02,
3.1999964e-02,3.36000e+00,9.40000e-02,
3.2199964e-02,3.32000e+00,1.06000e-01,
3.2399964e-02,3.36000e+00,1.02000e-01,
3.2599963e-02,3.32000e+00,1.24000e-01,
3.2799963e-02,3.36000e+00,1.50000e-01,
3.2999963e-02,3.28000e+00,7.60000e-02,
3.3199962e-02,3.36000e+00,9.20000e-02,
3.3399962e-02,3.28000e+00,7.40000e-02,
3.3599962e-02,3.36000e+00,8.60000e-02,
3.3799961e-02,3.28000e+00,9.60000e-02,
3.3999961e-02,3.32000e+00,9.40000e-02,
3.4199961e-02,3.36000e+00,1.04000e-01,
3.4399960e-02,3.36000e+00,1.02000e-01,
3.4599960e-02,3.28000e+00,1.24000e-01,
3.4799960e-02,3.32000e+00,1.34000e-01,
3.4999959e-02,3.40000e+00,7.20000e-02,
3.5199959e-02,3.36000e+00,7.00000e-02,
3.5399958e-02,3.28000e+00,8.40000e-02,
3.5599958e-02,3.36000e+00,8.00000e-02,
3.5799958e-02,3.28000e+00,9.20000e-02,
3.5999957e-02,3.36000e+00,9.00000e-02,
3.6199957e-02,3.32000e+00,1.10000e-01,
3.6399957e-02,3.36000e+00,1.20000e-01,
3.6599956e-02,3.28000e+00,7.40000e-02,
3.6799956e-02,3.36000e+00,7.60000e-02,
3.6999956e-02,3.28000e+00,8.80000e-02,
3.7199955e-02,3.28000e+00,8.40000e-02,
3.7399955e-02,3.40000e+00,9.60000e-02,
3.7599955e-02,3.32000e+00,9.20000e-02,
3.7799954e-02,3.36000e+00,1.04000e-01,
3.7999954e-02,3.36000e+00,1.04000e-01,
3.8199954e-02,3.28000e+00,1.28000e-01,
3.8399953e-02,3.36000e+00,1.28000e-01,
3.8599953e-02,3.32000e+00,7.80000e-02,
3.8799953e-02,3.36000e+00,8.20000e-02,
3.8999952e-02,3.32000e+00,9.40000e-02,
3.9199952e-02,3.40000e+00,8.60000e-02,
3.9399952e-02,3.28000e+00,9.80000e-02,
3.9599951e-02,3.32000e+00,9.60000e-02,
3.9799951e-02,3.36000e+00,1.16000e-01,
3.9999951e-02,3.36000e+00,1.34000e-01,
4.0199950e-02,3.28000e+00,7.80000e-02,
4.0399950e-02,3.36000e+00,8.00000e-02,
4.0599950e-02,3.28000e+00,6.80000e-02,
4.0799949e-02,3.36000e+00,7.60000e-02,
4.0999949e-02,3.28000e+00,9.20000e-02,
4.1199949e-02,3.36000e+00,8.80000e-02,
4.1399948e-02,3.32000e+00,1.10000e-01,
4.1599948e-02,3.36000e+00,1.14000e-01,
4.1799948e-02,3.28000e+00,7.40000e-02,
4.1999947e-02,3.36000e+00,7.80000e-02,
4.2199947e-02,3.28000e+00,8.80000e-02,
4.2399947e-02,3.36000e+00,8.20000e-02,
4.2599946e-02,3.32000e+00,9.00000e-02,
4.2799946e-02,3.36000e+00,8.40000e-02,
4.2999946e-02,3.32000e+00,1.08000e-01,
4.3199945e-02,3.36000e+00,1.12000e-01,
4.3399945e-02,3.28000e+00,7.00000e-02,
4.3599945e-02,3.36000e+00,7.40000e-02,
4.3799944e-02,3.28000e+00,8.40000e-02,
4.3999944e-02,3.36000e+00,8.00000e-02,
4.4199944e-02,3.28000e+00,8.80000e-02,
4.4399943e-02,3.36000e+00,7.60000e-02,
4.4599943e-02,3.28000e+00,1.08000e-01,
4.4799943e-02,3.36000e+00,1.22000e-01,
4.4999942e-02,3.32000e+00,6.40000e-02,
4.5199942e-02,3.28000e+00,6.60000e-02,
4.5399942e-02,3.40000e+00,7.80000e-02,
4.5599941e-02,3.36000e+00,7.40000e-02,
4.5799941e-02,3.28000e+00,8.80000e-02,
4.5999940e-02,3.36000e+00,1.02000e-01,
4.6199940e-02,3.32000e+00,6.40000e-02,
4.6399940e-02,3.36000e+00,6.20000e-02,
4.6599939e-02,3.28000e+00,7.60000e-02,
4.6799939e-02,3.36000e+00,6.80000e-02,
4.6999939e-02,3.28000e+00,8.00000e-02,
4.7199938e-02,3.36000e+00,7.40000e-02,
4.7399938e-02,3.28000e+00,9.60000e-02,
4.7599938e-02,3.36000e+00,1.04000e-01,
4.7799937e-02,3.28000e+00,6.60000e-02,
4.7999937e-02,3.36000e+00,7.00000e-02,
4.8199937e-02,3.28000e+00,7.60000e-02,
4.8399936e-02,3.36000e+00,7.20000e-02,
4.8599936e-02,3.32000e+00,8.20000e-02,
4.8799936e-02,3.32000e+00,7.60000e-02,
4.8999935e-02,3.36000e+00,1.04000e-01,
