t [s]; speed [encoder diff @ 1KHz]
0.0;0
0.001;0
0.002;0
0.003;1
0.004;0
0.005;1
0.006;0
0.007;0
0.008;1
0.009;1
0.01;0
0.011;1
0.012;0
0.013;1
0.014;0
0.015;0
0.016;1
0.017;1
0.018;0
0.019;1
0.02;1
0.021;0
0.022;1
0.023;1
0.024;0
0.025;1
0.026;1
0.027;0
0.028;1
0.029;1
0.03;0
0.031;1
0.032;1
0.033;0
0.034;1
0.035;1
0.036;1
0.037;1
0.038;0
0.039;1
0.04;1
0.041;1
0.042;1
0.043;0
0.044;1
0.045;1
0.046;1
0.047;1
0.048;0
0.049;2
0.05;0
0.051;1
0.052;1
0.053;1
0.054;1
0.055;1
0.056;1
0.057;0
0.058;2
0.059;0
0.06;2
0.061;0
0.062;1
0.063;1
0.064;1
0.065;1
0.066;1
0.067;1
0.068;1
0.069;1
0.07;1
0.071;1
0.072;2
0.073;0
0.074;2
0.075;1
0.076;1
0.077;1
0.078;1
0.079;1
0.08;1
0.081;1
0.082;1
0.083;2
0.084;0
0.085;2
0.086;1
0.087;1
0.088;1
0.089;2
0.09;1
0.091;1
0.092;1
0.093;1
0.094;1
0.095;2
0.096;1
0.097;1
0.098;1
0.099;2
0.1;1
0.101;1
0.102;1
0.103;2
0.104;1
0.105;1
0.106;2
0.107;1
0.108;1
0.109;2
0.11;1
0.111;1
0.112;2
0.113;1
0.114;2
0.115;1
0.116;1
0.117;2
0.118;1
0.119;2
0.12;1
0.121;1
0.122;2
0.123;2
0.124;1
0.125;1
0.126;2
0.127;1
0.128;2
0.129;1
0.13;2
0.131;1
0.132;1
0.133;2
0.134;2
0.135;1
0.136;2
0.137;1
0.138;2
0.139;2
0.14;1
0.141;2
0.142;1
0.143;2
0.144;2
0.145;1
0.146;2
0.147;1
0.148;2
0.149;2
0.15;1
0.151;2
0.152;1
0.153;2
0.154;2
0.155;1
0.156;2
0.157;2
0.158;2
0.159;1
0.16;2
0.161;2
0.162;1
0.163;2
0.164;2
0.165;2
0.166;1
0.167;2
0.168;2
0.169;2
0.17;2
0.171;1
0.172;2
0.173;2
0.174;2
0.175;1
0.176;2
0.177;2
0.178;2
0.179;2
0.18;2
0.181;2
0.182;2
0.183;2
0.184;1
0.185;2
0.186;2
0.187;2
0.188;2
0.189;2
0.19;2
0.191;2
0.192;1
0.193;3
0.194;1
0.195;2
0.196;2
0.197;2
0.198;2
0.199;2
0.2;2
0.201;2
0.202;2
0.203;2
0.204;2
0.205;2
0.206;2
0.207;3
0.208;1
0.209;3
0.21;1
0.211;3
0.212;2
0.213;2
0.214;2
0.215;2
0.216;2
0.217;2
0.218;2
0.219;3
0.22;2
0.221;2
0.222;2
0.223;2
0.224;2
0.225;2
0.226;3
0.227;2
0.228;2
0.229;2
0.23;2
0.231;2
0.232;3
0.233;2
0.234;2
0.235;2
0.236;2
0.237;3
0.238;2
0.239;3
0.24;2
0.241;2
0.242;2
0.243;2
0.244;3
0.245;2
0.246;3
0.247;2
0.248;2
0.249;2
0.25;3
0.251;2
0.252;2
0.253;3
0.254;2
0.255;2
0.256;3
0.257;2
0.258;3
0.259;2
0.26;2
0.261;3
0.262;2
0.263;3
0.264;2
0.265;2
0.266;3
0.267;2
0.268;3
0.269;2
0.27;2
0.271;3
0.272;3
0.273;2
0.274;2
0.275;3
0.276;3
0.277;2
0.278;2
0.279;3
0.28;2
0.281;3
0.282;2
0.283;3
0.284;3
0.285;2
0.286;2
0.287;3
0.288;3
0.289;2
0.29;3
0.291;3
0.292;2
0.293;3
0.294;2
0.295;3
0.296;3
0.297;2
0.298;3
0.299;3
0.3;2
0.301;3
0.302;2
0.303;3
0.304;3
0.305;2
0.306;3
0.307;3
0.308;3
0.309;2
0.31;3
0.311;3
0.312;2
0.313;3
0.314;3
0.315;3
0.316;2
0.317;3
0.318;3
0.319;2
0.32;4
0.321;2
0.322;3
0.323;3
0.324;2
0.325;3
0.326;3
0.327;3
0.328;3
0.329;2
0.33;3
0.331;3
0.332;3
0.333;3
0.334;3
0.335;3
0.336;2
0.337;3
0.338;3
0.339;3
0.34;3
0.341;3
0.342;3
0.343;2
0.344;4
0.345;2
0.346;3
0.347;3
0.348;3
0.349;3
0.35;3
0.351;3
0.352;3
0.353;3
0.354;3
0.355;3
0.356;3
0.357;3
0.358;3
0.359;3
0.36;3
0.361;3
0.362;3
0.363;3
0.364;3
0.365;3
0.366;3
0.367;3
0.368;3
0.369;3
0.37;3
0.371;3
0.372;3
0.373;3
0.374;3
0.375;3
0.376;4
0.377;3
0.378;3
0.379;3
0.38;3
0.381;3
0.382;3
0.383;3
0.384;3
0.385;4
0.386;3
0.387;3
0.388;3
0.389;3
0.39;4
0.391;3
0.392;3
0.393;3
0.394;3
0.395;4
0.396;3
0.397;3
0.398;3
0.399;3
0.4;4
0.401;3
0.402;3
0.403;3
0.404;3
0.405;4
0.406;3
0.407;3
0.408;4
0.409;2
0.41;4
0.411;4
0.412;3
0.413;3
0.414;3
0.415;3
0.416;4
0.417;3
0.418;4
0.419;3
0.42;3
0.421;3
0.422;4
0.423;3
0.424;4
0.425;3
0.426;3
0.427;3
0.428;4
0.429;4
0.43;3
0.431;3
0.432;4
0.433;3
0.434;3
0.435;4
0.436;4
0.437;3
0.438;3
0.439;4
0.44;3
0.441;3
0.442;4
0.443;4
0.444;3
0.445;3
0.446;4
0.447;4
0.448;3
0.449;3
0.45;4
0.451;4
0.452;3
0.453;4
0.454;3
0.455;4
0.456;3
0.457;3
0.458;4
0.459;4
0.46;3
0.461;4
0.462;3
0.463;4
0.464;4
0.465;3
0.466;4
0.467;3
0.468;4
0.469;4
0.47;3
0.471;4
0.472;3
0.473;4
0.474;4
0.475;3
0.476;4
0.477;3
0.478;4
0.479;4
0.48;4
0.481;4
0.482;3
0.483;4
0.484;3
0.485;4
0.486;4
0.487;3
0.488;4
0.489;4
0.49;3
0.491;4
0.492;4
0.493;4
0.494;4
0.495;3
0.496;4
0.497;4
0.498;3
0.499;4
0.5;4
0.501;4
0.502;3
0.503;4
0.504;4
0.505;4
0.506;3
0.507;4
0.508;4
0.509;4
0.51;4
0.511;4
0.512;4
0.513;3
0.514;4
0.515;4
0.516;4
0.517;4
0.518;3
0.519;4
0.52;4
0.521;4
0.522;4
0.523;4
0.524;4
0.525;4
0.526;4
0.527;3
0.528;4
0.529;4
0.53;4
0.531;4
0.532;4
0.533;4
0.534;4
0.535;3
0.536;4
0.537;4
0.538;4
0.539;4
0.54;4
0.541;4
0.542;4
0.543;4
0.544;4
0.545;4
0.546;4
0.547;4
0.548;4
0.549;4
0.55;4
0.551;4
0.552;4
0.553;4
0.554;4
0.555;4
0.556;4
0.557;4
0.558;4
0.559;4
0.56;4
0.561;5
0.562;4
0.563;4
0.564;4
0.565;4
0.566;4
0.567;4
0.568;4
0.569;4
0.57;4
0.571;5
0.572;4
0.573;4
0.574;4
0.575;4
0.576;4
0.577;4
0.578;5
0.579;4
0.58;4
0.581;4
0.582;4
0.583;4
0.584;5
0.585;4
0.586;4
0.587;4
0.588;4
0.589;4
0.59;4
0.591;5
0.592;4
0.593;4
0.594;4
0.595;5
0.596;4
0.597;4
0.598;4
0.599;5
0.6;4
0.601;4
0.602;5
0.603;4
0.604;4
0.605;4
0.606;4
0.607;5
0.608;4
0.609;4
0.61;5
0.611;4
0.612;4
0.613;4
0.614;5
0.615;4
0.616;5
0.617;4
0.618;4
0.619;4
0.62;5
0.621;4
0.622;4
0.623;5
0.624;4
0.625;4
0.626;5
0.627;4
0.628;5
0.629;4
0.63;4
0.631;5
0.632;4
0.633;5
0.634;4
0.635;4
0.636;5
0.637;4
0.638;5
0.639;4
0.64;4
0.641;5
0.642;4
0.643;5
0.644;4
0.645;5
0.646;4
0.647;5
0.648;4
0.649;4
0.65;5
0.651;5
0.652;4
0.653;5
0.654;4
0.655;5
0.656;4
0.657;4
0.658;5
0.659;5
0.66;4
0.661;5
0.662;4
0.663;5
0.664;4
0.665;5
0.666;4
0.667;5
0.668;4
0.669;5
0.67;5
0.671;4
0.672;5
0.673;4
0.674;5
0.675;5
0.676;4
0.677;5
0.678;4
0.679;5
0.68;4
0.681;5
0.682;5
0.683;5
0.684;4
0.685;4
0.686;5
0.687;5
0.688;5
0.689;4
0.69;5
0.691;4
0.692;5
0.693;5
0.694;4
0.695;5
0.696;5
0.697;4
0.698;5
0.699;5
0.7;5
0.701;5
0.702;4
0.703;5
0.704;4
0.705;5
0.706;5
0.707;5
0.708;4
0.709;5
0.71;5
0.711;5
0.712;5
0.713;4
0.714;5
0.715;5
0.716;5
0.717;4
0.718;5
0.719;5
0.72;5
0.721;4
0.722;5
0.723;5
0.724;5
0.725;5
0.726;4
0.727;5
0.728;5
0.729;5
0.73;5
0.731;5
0.732;5
0.733;4
0.734;5
0.735;5
0.736;5
0.737;5
0.738;4
0.739;5
0.74;5
0.741;5
0.742;5
0.743;5
0.744;5
0.745;5
0.746;5
0.747;4
0.748;5
0.749;5
0.75;6
0.751;4
0.752;5
0.753;5
0.754;5
0.755;5
0.756;5
0.757;5
0.758;5
0.759;5
0.76;5
0.761;5
0.762;5
0.763;5
0.764;4
0.765;6
0.766;5
0.767;5
0.768;4
0.769;6
0.77;5
0.771;5
0.772;4
0.773;6
0.774;5
0.775;5
0.776;5
0.777;5
0.778;5
0.779;5
0.78;5
0.781;5
0.782;5
0.783;5
0.784;5
0.785;5
0.786;5
0.787;5
0.788;5
0.789;6
0.79;5
0.791;4
0.792;6
0.793;5
0.794;5
0.795;5
0.796;5
0.797;5
0.798;5
0.799;6
0.8;5
0.801;5
0.802;5
0.803;5
0.804;5
0.805;5
0.806;6
0.807;5
0.808;5
0.809;5
0.81;5
0.811;6
0.812;4
0.813;6
0.814;5
0.815;5
0.816;5
0.817;6
0.818;5
0.819;5
0.82;5
0.821;6
0.822;4
0.823;6
0.824;5
0.825;5
0.826;6
0.827;5
0.828;5
0.829;5
0.83;6
0.831;5
0.832;5
0.833;5
0.834;6
0.835;5
0.836;5
0.837;6
0.838;4
0.839;6
0.84;6
0.841;4
0.842;6
0.843;5
0.844;5
0.845;6
0.846;5
0.847;5
0.848;6
0.849;5
0.85;5
0.851;6
0.852;5
0.853;5
0.854;6
0.855;5
0.856;5
0.857;6
0.858;5
0.859;5
0.86;6
0.861;6
0.862;5
0.863;5
0.864;6
0.865;5
0.866;6
0.867;5
0.868;5
0.869;6
0.87;5
0.871;6
0.872;5
0.873;5
0.874;6
0.875;5
0.876;6
0.877;5
0.878;6
0.879;5
0.88;6
0.881;5
0.882;5
0.883;6
0.884;5
0.885;6
0.886;6
0.887;5
0.888;5
0.889;6
0.89;5
0.891;6
0.892;5
0.893;6
0.894;6
0.895;5
0.896;5
0.897;6
0.898;6
0.899;5
0.9;5
0.901;6
0.902;6
0.903;5
0.904;6
0.905;5
0.906;6
0.907;6
0.908;5
0.909;6
0.91;5
0.911;6
0.912;6
0.913;5
0.914;6
0.915;5
0.916;6
0.917;6
0.918;5
0.919;6
0.92;5
0.921;6
0.922;6
0.923;5
0.924;6
0.925;5
0.926;6
0.927;6
0.928;6
0.929;5
0.93;6
0.931;5
0.932;6
0.933;6
0.934;6
0.935;5
0.936;6
0.937;5
0.938;6
0.939;6
0.94;6
0.941;5
0.942;6
0.943;6
0.944;5
0.945;6
0.946;6
0.947;6
0.948;6
0.949;5
0.95;6
0.951;5
0.952;6
0.953;6
0.954;6
0.955;6
0.956;5
0.957;6
0.958;5
0.959;7
0.96;5
0.961;6
0.962;6
0.963;6
0.964;6
0.965;5
0.966;6
0.967;6
0.968;6
0.969;5
0.97;6
0.971;6
0.972;6
0.973;6
0.974;6
0.975;6
0.976;5
0.977;6
0.978;6
0.979;6
0.98;6
0.981;6
0.982;5
0.983;6
0.984;6
0.985;6
0.986;6
0.987;6
0.988;6
0.989;6
0.99;6
0.991;6
0.992;6
0.993;5
0.994;6
0.995;6
0.996;6
0.997;6
0.998;6
0.999;5
1.0;7
1.001;6
1.002;6
1.003;5
1.004;7
1.005;5
1.006;7
1.007;5
1.008;6
1.009;6
1.01;6
1.011;6
1.012;6
1.013;6
1.014;6
1.015;6
1.016;6
1.017;6
1.018;6
1.019;6
1.02;6
1.021;6
1.022;6
1.023;6
1.024;6
1.025;6
1.026;7
1.027;5
1.028;7
1.029;5
1.03;7
1.031;5
1.032;7
1.033;6
1.034;6
1.035;6
1.036;6
1.037;6
1.038;6
1.039;6
1.04;7
1.041;5
1.042;7
1.043;6
1.044;6
1.045;6
1.046;6
1.047;6
1.048;6
1.049;6
1.05;6
1.051;7
1.052;5
1.053;7
1.054;6
1.055;6
1.056;6
1.057;6
1.058;7
1.059;6
1.06;6
1.061;6
1.062;6
1.063;6
1.064;7
1.065;5
1.066;7
1.067;6
1.068;6
1.069;6
1.07;7
1.071;6
1.072;6
1.073;6
1.074;6
1.075;7
1.076;6
1.077;6
1.078;6
1.079;7
1.08;6
1.081;6
1.082;6
1.083;6
1.084;7
1.085;6
1.086;6
1.087;7
1.088;6
1.089;6
1.09;6
1.091;7
1.092;6
1.093;6
1.094;6
1.095;7
1.096;6
1.097;6
1.098;6
1.099;7
1.1;6
1.101;6
1.102;7
1.103;6
1.104;6
1.105;7
1.106;6
1.107;7
1.108;6
1.109;6
1.11;6
1.111;6
1.112;7
1.113;6
1.114;7
1.115;6
1.116;6
1.117;7
1.118;6
1.119;7
1.12;6
1.121;6
1.122;7
1.123;6
1.124;6
1.125;7
1.126;6
1.127;7
1.128;6
1.129;6
1.13;7
1.131;6
1.132;7
1.133;6
1.134;7
1.135;6
1.136;6
1.137;7
1.138;6
1.139;7
1.14;6
1.141;6
1.142;7
1.143;6
1.144;7
1.145;6
1.146;7
1.147;6
1.148;7
1.149;6
1.15;7
1.151;6
1.152;7
1.153;6
1.154;6
1.155;7
1.156;7
1.157;6
1.158;7
1.159;6
1.16;7
1.161;6
1.162;6
1.163;7
1.164;7
1.165;6
1.166;7
1.167;6
1.168;7
1.169;6
1.17;7
1.171;7
1.172;6
1.173;6
1.174;7
1.175;7
1.176;6
1.177;7
1.178;6
1.179;7
1.18;7
1.181;6
1.182;7
1.183;6
1.184;7
1.185;7
1.186;6
1.187;6
1.188;7
1.189;7
1.19;6
1.191;7
1.192;7
1.193;6
1.194;7
1.195;7
1.196;6
1.197;7
1.198;7
1.199;6
1.2;7
1.201;7
1.202;6
1.203;7
1.204;6
1.205;7
1.206;7
1.207;6
1.208;7
1.209;7
1.21;7
1.211;6
1.212;7
1.213;6
1.214;7
1.215;7
1.216;7
1.217;6
1.218;7
1.219;7
1.22;6
1.221;7
1.222;7
1.223;6
1.224;7
1.225;7
1.226;6
1.227;8
1.228;6
1.229;7
1.23;7
1.231;7
1.232;6
1.233;7
1.234;7
1.235;7
1.236;6
1.237;7
1.238;7
1.239;6
1.24;8
1.241;6
1.242;7
1.243;7
1.244;7
1.245;6
1.246;7
1.247;7
1.248;7
1.249;6
1.25;8
1.251;6
1.252;7
1.253;7
1.254;7
1.255;7
1.256;6
1.257;7
1.258;7
1.259;7
1.26;7
1.261;7
1.262;7
1.263;6
1.264;7
1.265;7
1.266;7
1.267;7
1.268;7
1.269;7
1.27;6
1.271;8
1.272;6
1.273;7
1.274;7
1.275;7
1.276;7
1.277;6
1.278;8
1.279;7
1.28;7
1.281;6
1.282;7
1.283;7
1.284;7
1.285;7
1.286;7
1.287;7
1.288;7
1.289;7
1.29;7
1.291;7
1.292;6
1.293;8
1.294;7
1.295;7
1.296;6
1.297;8
1.298;7
1.299;6
1.3;7
1.301;8
1.302;6
1.303;7
1.304;7
1.305;8
1.306;6
1.307;7
1.308;7
1.309;7
1.31;7
1.311;7
1.312;7
1.313;8
1.314;6
1.315;8
1.316;6
1.317;8
1.318;7
1.319;7
1.32;6
1.321;8
1.322;7
1.323;7
1.324;7
1.325;7
1.326;7
1.327;7
1.328;7
1.329;7
1.33;7
1.331;7
1.332;8
1.333;6
1.334;8
1.335;7
1.336;7
1.337;7
1.338;7
1.339;7
1.34;7
1.341;7
1.342;7
1.343;8
1.344;7
1.345;7
1.346;7
1.347;7
1.348;7
1.349;7
1.35;8
1.351;6
1.352;8
1.353;7
1.354;7
1.355;7
1.356;7
1.357;8
1.358;7
1.359;7
1.36;7
1.361;7
1.362;8
1.363;7
1.364;7
1.365;7
1.366;7
1.367;7
1.368;8
1.369;7
1.37;7
1.371;7
1.372;8
1.373;7
1.374;7
1.375;7
1.376;7
1.377;8
1.378;7
1.379;7
1.38;7
1.381;7
1.382;8
1.383;7
1.384;7
1.385;7
1.386;7
1.387;8
1.388;7
1.389;7
1.39;8
1.391;7
1.392;7
1.393;8
1.394;7
1.395;7
1.396;7
1.397;7
1.398;8
1.399;7
1.4;7
1.401;8
1.402;7
1.403;7
1.404;8
1.405;7
1.406;7
1.407;8
1.408;7
1.409;7
1.41;8
1.411;7
1.412;7
1.413;7
1.414;8
1.415;7
1.416;8
1.417;7
1.418;7
1.419;7
1.42;8
1.421;7
1.422;8
1.423;7
1.424;7
1.425;8
1.426;7
1.427;7
1.428;8
1.429;7
1.43;7
1.431;8
1.432;7
1.433;7
1.434;8
1.435;8
1.436;7
1.437;7
1.438;8
1.439;7
1.44;7
1.441;8
1.442;7
1.443;8
1.444;7
1.445;8
1.446;7
1.447;7
1.448;8
1.449;7
1.45;8
1.451;7
1.452;8
1.453;7
1.454;7
1.455;8
1.456;8
1.457;7
1.458;7
1.459;8
1.46;7
1.461;7
1.462;8
1.463;8
1.464;7
1.465;8
1.466;7
1.467;8
1.468;7
1.469;7
1.47;8
1.471;8
1.472;7
1.473;8
1.474;7
1.475;8
1.476;7
1.477;7
1.478;8
1.479;8
1.48;7
1.481;8
1.482;7
1.483;8
1.484;7
1.485;8
1.486;7
1.487;8
1.488;8
1.489;7
1.49;8
1.491;7
1.492;8
1.493;7
1.494;8
1.495;7
1.496;8
1.497;8
1.498;7
1.499;8
1.5;7
1.501;8
1.502;8
1.503;7
1.504;8
1.505;7
1.506;8
1.507;8
1.508;7
1.509;8
1.51;7
1.511;8
1.512;8
1.513;7
1.514;8
1.515;7
1.516;8
1.517;8
1.518;8
1.519;7
1.52;8
1.521;7
1.522;8
1.523;8
1.524;7
1.525;8
1.526;7
1.527;8
1.528;8
1.529;8
1.53;7
1.531;8
1.532;7
1.533;8
1.534;8
1.535;8
1.536;7
1.537;8
1.538;7
1.539;8
1.54;8
1.541;8
1.542;8
1.543;7
1.544;8
1.545;8
1.546;7
1.547;8
1.548;8
1.549;7
1.55;8
1.551;8
1.552;7
1.553;8
1.554;8
1.555;8
1.556;8
1.557;7
1.558;8
1.559;8
1.56;8
1.561;7
1.562;8
1.563;8
1.564;8
1.565;7
1.566;8
1.567;8
1.568;7
1.569;8
1.57;8
1.571;8
1.572;8
1.573;8
1.574;7
1.575;8
1.576;8
1.577;8
1.578;7
1.579;8
1.58;8
1.581;8
1.582;8
1.583;8
1.584;7
1.585;8
1.586;8
1.587;8
1.588;7
1.589;8
1.59;8
1.591;8
1.592;8
1.593;8
1.594;8
1.595;8
1.596;8
1.597;7
1.598;8
1.599;8
1.6;8
1.601;8
1.602;8
1.603;7
1.604;8
1.605;8
1.606;8
1.607;8
1.608;8
1.609;8
1.61;8
1.611;8
1.612;7
1.613;8
1.614;8
1.615;8
1.616;8
1.617;8
1.618;7
1.619;8
1.62;8
1.621;8
1.622;8
1.623;8
1.624;8
1.625;8
1.626;8
1.627;8
1.628;8
1.629;8
1.63;8
1.631;8
1.632;8
1.633;8
1.634;8
1.635;8
1.636;8
1.637;8
1.638;8
1.639;8
1.64;8
1.641;8
1.642;8
1.643;8
1.644;8
1.645;8
1.646;8
1.647;8
1.648;8
1.649;8
1.65;8
1.651;8
1.652;8
1.653;8
1.654;8
1.655;8
1.656;8
1.657;8
1.658;8
1.659;8
1.66;8
1.661;8
1.662;8
1.663;8
1.664;8
1.665;8
1.666;8
1.667;8
1.668;8
1.669;8
1.67;8
1.671;8
1.672;8
1.673;8
1.674;8
1.675;8
1.676;8
1.677;8
1.678;8
1.679;8
1.68;8
1.681;8
1.682;8
1.683;9
1.684;8
1.685;8
1.686;8
1.687;8
1.688;8
1.689;8
1.69;8
1.691;8
1.692;9
1.693;8
1.694;8
1.695;8
1.696;8
1.697;8
1.698;8
1.699;8
1.7;8
1.701;9
1.702;8
1.703;8
1.704;8
1.705;8
1.706;8
1.707;9
1.708;8
1.709;8
1.71;8
1.711;8
1.712;8
1.713;8
1.714;8
1.715;8
1.716;9
1.717;8
1.718;8
1.719;8
1.72;9
1.721;8
1.722;8
1.723;8
1.724;8
1.725;9
1.726;8
1.727;8
1.728;8
1.729;8
1.73;9
1.731;8
1.732;8
1.733;8
1.734;8
1.735;8
1.736;8
1.737;9
1.738;8
1.739;8
1.74;9
1.741;8
1.742;8
1.743;8
1.744;8
1.745;9
1.746;8
1.747;8
1.748;9
1.749;8
1.75;8
1.751;8
1.752;8
1.753;9
1.754;8
1.755;8
1.756;9
1.757;8
1.758;8
1.759;8
1.76;9
1.761;8
1.762;8
1.763;9
1.764;8
1.765;8
1.766;8
1.767;8
1.768;9
1.769;8
1.77;9
1.771;8
1.772;8
1.773;8
1.774;9
1.775;8
1.776;9
1.777;8
1.778;8
1.779;8
1.78;8
1.781;9
1.782;8
1.783;9
1.784;8
1.785;8
1.786;9
1.787;8
1.788;9
1.789;8
1.79;8
1.791;8
1.792;9
1.793;8
1.794;8
1.795;9
1.796;8
1.797;9
1.798;8
1.799;8
1.8;9
1.801;8
1.802;8
1.803;9
1.804;8
1.805;9
1.806;8
1.807;8
1.808;9
1.809;8
1.81;9
1.811;8
1.812;8
1.813;9
1.814;8
1.815;9
1.816;8
1.817;8
1.818;9
1.819;8
1.82;9
1.821;8
1.822;8
1.823;9
1.824;8
1.825;9
1.826;8
1.827;9
1.828;8
1.829;9
1.83;8
1.831;8
1.832;9
1.833;8
1.834;9
1.835;8
1.836;9
1.837;8
1.838;9
1.839;8
1.84;8
1.841;9
1.842;9
1.843;8
1.844;9
1.845;8
1.846;9
1.847;8
1.848;8
1.849;9
1.85;8
1.851;9
1.852;8
1.853;9
1.854;9
1.855;8
1.856;8
1.857;9
1.858;8
1.859;9
1.86;9
1.861;8
1.862;9
1.863;8
1.864;8
1.865;9
1.866;9
1.867;8
1.868;9
1.869;8
1.87;9
1.871;8
1.872;9
1.873;9
1.874;8
1.875;9
1.876;8
1.877;9
1.878;8
1.879;8
1.88;9
1.881;9
1.882;9
1.883;8
1.884;9
1.885;8
1.886;8
1.887;9
1.888;9
1.889;9
1.89;8
1.891;9
1.892;8
1.893;9
1.894;9
1.895;8
1.896;9
1.897;8
1.898;9
1.899;8
1.9;9
1.901;9
1.902;8
1.903;9
1.904;9
1.905;8
1.906;9
1.907;8
1.908;9
1.909;9
1.91;8
1.911;9
1.912;8
1.913;9
1.914;9
1.915;8
1.916;9
1.917;9
1.918;8
1.919;9
1.92;9
1.921;8
1.922;9
1.923;9
1.924;8
1.925;9
1.926;9
1.927;8
1.928;9
1.929;9
1.93;8
1.931;9
1.932;9
1.933;8
1.934;9
1.935;9
1.936;8
1.937;9
1.938;9
1.939;9
1.94;8
1.941;9
1.942;8
1.943;9
1.944;9
1.945;9
1.946;9
1.947;8
1.948;9
1.949;9
1.95;8
1.951;9
1.952;9
1.953;8
1.954;9
1.955;9
1.956;9
1.957;9
1.958;8
1.959;9
1.96;9
1.961;9
1.962;8
1.963;9
1.964;8
1.965;10
1.966;8
1.967;9
1.968;9
1.969;8
1.97;9
1.971;9
1.972;9
1.973;9
1.974;8
1.975;9
1.976;9
1.977;9
1.978;9
1.979;8
1.98;9
1.981;9
1.982;9
1.983;9
1.984;8
1.985;9
1.986;9
1.987;9
1.988;9
1.989;8
1.99;9
1.991;9
1.992;9
1.993;9
1.994;8
1.995;9
1.996;9
1.997;9
1.998;9
1.999;8
2.0;9
2.001;9
2.002;9
2.003;9
2.004;8
2.005;10
2.006;8
2.007;9
2.008;9
2.009;9
2.01;9
2.011;9
2.012;9
2.013;8
2.014;9
2.015;9
2.016;9
2.017;9
2.018;8
2.019;10
2.02;9
2.021;8
2.022;9
2.023;9
2.024;9
2.025;9
2.026;9
2.027;9
2.028;9
2.029;9
2.03;8
2.031;9
2.032;9
2.033;9
2.034;9
2.035;9
2.036;9
2.037;9
2.038;9
2.039;9
2.04;8
2.041;9
2.042;9
2.043;9
2.044;9
2.045;9
2.046;9
2.047;9
2.048;9
2.049;9
2.05;9
2.051;9
2.052;9
2.053;8
2.054;10
2.055;9
2.056;9
2.057;8
2.058;9
2.059;9
2.06;10
2.061;8
2.062;9
2.063;9
2.064;9
2.065;9
2.066;9
2.067;9
2.068;9
2.069;9
2.07;9
2.071;9
2.072;9
2.073;9
2.074;9
2.075;9
2.076;9
2.077;9
2.078;9
2.079;9
2.08;9
2.081;9
2.082;9
2.083;9
2.084;9
2.085;9
2.086;9
2.087;9
2.088;9
2.089;9
2.09;9
2.091;9
2.092;10
2.093;8
2.094;9
2.095;10
2.096;9
2.097;8
2.098;10
2.099;9
2.1;9
2.101;9
2.102;9
2.103;9
2.104;9
2.105;9
2.106;9
2.107;9
2.108;9
2.109;9
2.11;9
2.111;10
2.112;8
2.113;10
2.114;9
2.115;9
2.116;9
2.117;9
2.118;9
2.119;9
2.12;9
2.121;9
2.122;9
2.123;9
2.124;10
2.125;9
2.126;9
2.127;9
2.128;9
2.129;9
2.13;9
2.131;9
2.132;9
2.133;10
2.134;8
2.135;10
2.136;9
2.137;9
2.138;9
2.139;9
2.14;10
2.141;8
2.142;10
2.143;9
2.144;9
2.145;9
2.146;9
2.147;10
2.148;8
2.149;10
2.15;9
2.151;9
2.152;9
2.153;9
2.154;10
2.155;8
2.156;10
2.157;9
2.158;9
2.159;9
2.16;9
2.161;10
2.162;9
2.163;9
2.164;9
2.165;9
2.166;10
2.167;9
2.168;9
2.169;9
2.17;9
2.171;10
2.172;9
